City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ribeira grande,38.5167,-28.7,25.22,73,40,5.66,PT,1690388353
84,nushki,29.5542,66.0215,31.59,44,26,4.02,PK,1690388742
85,tirano,46.2154,10.1679,25.78,29,90,0.63,IT,1690388895
86,haiphong,20.8561,106.6822,29.95,84,0,2.06,VN,1690388632
87,lompoc,34.6391,-120.4579,23.85,85,40,3.09,US,1690388333
88,garhi khairo,28.0606,67.9803,34.41,58,98,2.79,PK,1690388896
89,laojunmiao,39.8333,97.7333,24.96,26,95,3.41,CN,1690388896
90,rawson,-43.3002,-65.1023,5.78,56,60,6.27,AR,1690388897
91,tianpeng,30.9866,103.9393,23.26,91,99,0.63,CN,1690388897
92,college,64.8569,-147.8028,20.18,82,75,2.57,US,1690388205
93,constantia,44.1833,28.65,28.38,60,19,3.42,RO,1690388377
94,gumdag,39.2061,54.5906,29.63,58,96,7.66,TM,1690388897
95,bojnurd,37.4747,57.329,23.97,64,20,7.2,IR,1690388897
96,kutoarjo,-7.7169,109.9128,21.05,89,29,1.8,ID,1690388897
97,rovnoye,50.7765,46.0509,26.67,50,10,2.82,RU,1690388897
98,gudermes,43.3569,46.1053,27.69,59,0,6.12,RU,1690388898
99,enewetak,11.3474,162.3373,28.12,79,97,7.06,MH,1690388898
100,polyarnyy,69.1989,33.4478,11.1,92,99,2.03,RU,1690388417
101,north bend,43.4065,-124.2243,17.36,77,0,2.57,US,1690388898
102,avarua,-21.2078,-159.775,19.03,94,75,1.54,CK,1690388313
103,broome,42.2506,-75.833,29.14,62,0,3.6,US,1690388402
104,mana,5.6592,-53.7767,28.97,70,13,3.47,GF,1690388899
105,az zawr,29.4425,48.2747,38.86,60,25,3.83,KW,1690388904
106,riberalta,-10.9833,-66.1,32.11,48,3,4.12,BO,1690388904
107,iskateley,67.6803,53.1512,19.49,77,100,1.72,RU,1690388344
108,hithadhoo,-0.6,73.0833,28.5,78,54,7.06,MV,1690388358
109,berber,18.0216,33.983,38.06,27,95,9.13,SD,1690388905
110,gawan,28.4333,78.35,26.77,85,100,2.18,IN,1690388905
111,nemuro,43.3236,145.575,16.66,98,77,0.29,JP,1690388365
112,as sulayyil,20.4607,45.5779,42.14,7,41,3.22,SA,1690388905
113,la passe,45.5549,-0.8967,24.13,64,34,5.82,FR,1690388905
114,punta arenas,-53.15,-70.9167,2.32,69,44,6.46,CL,1690388335
115,port alfred,-33.5906,26.891,17.32,61,41,0.45,ZA,1690388396
116,st. john's,47.5649,-52.7093,29.53,52,75,6.17,CA,1690388368
117,nyurba,63.2842,118.3319,16.83,61,96,2.27,RU,1690388425
118,kovancilar,38.7214,39.8681,32.69,24,19,1.44,TR,1690388907
119,launceston,-41.45,147.1667,9.33,92,100,4.12,AU,1690388907
120,mejit,10.2753,170.8646,28.16,79,100,8.05,MH,1690388426
121,wailua homesteads,22.0669,-159.378,24.44,87,100,6.69,US,1690388404
122,sandnessjoen,66.0217,12.6316,21.29,64,40,4.12,NO,1690388908
123,sinabang,2.4803,96.3801,27.0,81,77,1.91,ID,1690388908
124,ayvacik,39.6011,26.4047,35.69,24,9,2.85,TR,1690388908
125,olonkinbyen,70.9221,-8.7187,4.95,93,100,5.11,SJ,1690388379
126,naifaru,5.4444,73.3657,28.37,77,100,1.41,MV,1690388909
127,jayapura,-2.5333,140.7,24.66,90,98,3.17,ID,1690388909
128,sol'-iletsk,51.1631,54.9918,26.12,43,70,3.84,RU,1690388401
129,helsa,51.2667,9.6833,19.69,65,94,4.76,DE,1690388909
130,turpan,42.9333,89.1667,39.97,11,24,2.6,CN,1690388450
131,arraial do cabo,-22.9661,-42.0278,23.92,78,100,6.17,BR,1690388505
132,nata,8.3333,-80.5167,29.93,87,100,1.79,PA,1690388909
133,invercargill,-46.4,168.35,5.61,89,94,12.37,NZ,1690388334
134,longquan,24.6719,102.1613,20.0,90,99,1.7,CN,1690388910
135,tomatlan,19.9333,-105.25,31.48,55,82,0.53,MX,1690388910
136,vorgashor,67.5833,63.95,16.42,80,99,3.84,RU,1690388910
137,puerto baquerizo moreno,-0.9,-89.6,26.55,78,40,6.17,EC,1690388693
138,thetford-mines,46.0937,-71.3054,24.06,62,38,4.37,CA,1690388910
139,hola,51.5377,23.1902,15.1,92,100,6.17,PL,1690388911
140,laguna,38.421,-121.4238,29.43,57,0,4.63,US,1690388911
141,lihue,21.9789,-159.3672,24.77,87,100,6.69,US,1690388911
142,bukama,-9.2,25.85,29.86,19,10,2.13,CD,1690388911
143,blackmans bay,-43.0167,147.3167,10.29,85,100,2.5,AU,1690388320
144,hamilton,39.1834,-84.5333,32.63,66,0,6.69,US,1690388125
145,gweru,-19.45,29.8167,16.84,42,45,2.64,ZW,1690388912
146,lakshettipet,18.8667,79.2167,27.73,87,98,3.45,IN,1690388912
147,najran,17.4924,44.1277,37.36,10,97,4.88,SA,1690388498
148,hermanus,-34.4187,19.2345,13.22,84,82,4.68,ZA,1690388347
149,altay,47.8667,88.1167,23.27,34,36,3.32,CN,1690388912
150,richards bay,-28.783,32.0377,19.9,72,82,7.48,ZA,1690388490
151,hasaki,35.7333,140.8333,26.28,87,12,3.47,JP,1690388143
152,rio grande,-32.035,-52.0986,18.06,90,100,7.37,BR,1690388267
153,susuman,62.7833,148.1667,11.32,85,100,1.97,RU,1690388413
154,ghat,24.9647,10.1728,40.42,7,5,6.6,LY,1690388913
155,iqaluit,63.7506,-68.5145,7.85,81,75,1.54,CA,1690388913
